Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C2 C3 C4 C5,10uF,5,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
2,D1 D2,diode_schottky_15V_1A,2,DIODE SCHOTTKY 15V 1A DO214BA,LSM115JE3/TR13CT-ND,digikey
3,D3 D4,diode_schottky_45V_10A,2,DIODE SCHOTTKY 45V 10A CFP15,568-11697-1-ND,digikey
4,MDT1,MODULAR_DEVICE_TEENSY_FEMALE,2,16 Position Header Through Hole Female Socket,S7049-ND,digikey
5,MH1 MH2 MH3,MNT_HOLE,3,Round Standoff Threaded 4-40 Aluminum 0.500in 0.187in,36-2027-ND,digikey
6,P1,PWR_JACK_2.5x5.5_SMD_RA,1,CONN POWER JACK 2.5X5.5MM HI CUR,CP-002BHPJCT-ND,digikey
7,P2 P3 P4,HEADER_01X03_SMD_RA,3,CONN HEADER 3POS R/A SMD GOLD,A100890CT-ND,digikey
8,P5,BNC_DOUBLE_RA,1,CONN BNC JACK R/A 75 OHM PCB,ACX1655-ND,digikey
9,P6 P7,HEADER_01X02_SMD_RA,2,CONN HEADER 2POS R/A SMD GOLD,A100903CT-ND,digikey
10,REG1,CONV_DC_DC_5V_1A,1,CONV DC/DC 1A 5V OUT SIP VERT,945-1395-5-ND,digikey
11,SW1,KT_SWITCH,1,SWITCH TACTILE SPST-NO 1VA 32V,CKN1860CT-ND,digikey
12,TEENSY1,TEENSY_3_2,1,DEV TEENSY 3.2 13736,1568-1231-ND,digikey
